Focal,Beh,Rec,Mins
Dl,groom,Db,3
Dl,groom,Db,5
Dl,groom,Db,5
Dl,groom,Db,5
Dl,In contact,Db,5
Dl,In contact,Db,20
Dl,groom,RK,1
Dl,groom,RK,1
Dl,groom,RK,1
Dl,groom,RK,2
Dl,groom,RK,2
Dl,groom,RK,3
Dl,In contact,RK,4
Dl,groom,RK,5
Dl,groom,RK,5
Dl,groom,RK,10
Dl,In contact,RK,20
Dl,In contact,RK,25
Dl,In contact,RK,49
Ku,groom,Db,1
Ku,In contact,Dl,23
Ku,In contact,Pe,2
Ku,In contact,Pk,10
Vi,groom,Ba,1
Vi,In contact,Ba,1
Vi,In contact,Ba,1
Vi,In contact,Nw,5
Vi,groom,Pk,3
Vi,In contact,Pk,6
Vi,In contact,Pk,10
Vi,groom,Vt,3
Vi,groom,Vt,5
Vi,In contact,Vt,8
Vi,In contact,Vt,14
Vi,In contact,Vt,35
Vi,groom,Wa,1
Vi,groom,Wa,1
Vi,groom,Wa,1
Vi,groom,Wa,1
Vi,groom,Wa,1
Vi,groom,Wa,2
Vi,In contact,Wa,5
Vi,In contact,Wa,11
Vi,In contact,Wa,11
Dl,groom,RK,30
Dl,In contact,Wa,10
Dl,In contact,Wa,15
Ku,groom,Ki,1
Ku,groom,Ki,1
Ku,groom,Ki,1
Ku,In contact,Ki,1
Ku,groom,Ki,2
Ku,groom,Ki,2
Ku,groom,Ki,3
Ku,In contact,Ki,10
Ku,In contact,Ki,13
Ku,groom,Ko,1
Ku,groom,Ko,1
Ku,play,Ko,2
Ku,groom,Ko,4
Ku,In contact,Pe,1
Ku,In contact,Pe,2
Ku,In contact,Vi,3
Ku,In contact,Vi,7
Pe,groom,Pi,2
Ba,mating,Pk,18
Ba,In contact,Pk,20
Nw,groom,Dl,5
Nw,In contact,Dl,5
Nw,In contact,Dl,10
Nw,In contact,Ku,5
Nw,groom,Pe,5
Nw,groom,RK,5
Nw,groom,Wa,5
Nw,In contact,Wa,5
Ba,groom,Bo,2
Ba,groom,Pk,1
Ba,In contact,Pk,1
Ba,In contact,Pk,1
Ba,In contact,Pk,2
Ba,In contact,Pk,2
Ba,In contact,Pk,3
Ba,mating,Pk,14
Dl,play,Db,1
Dl,groom,Db,5
Dl,groom,Db,6
Dl,groom,Nw,2
Dl,In contact,Nw,2
Dl,groom,Nw,2
Dl,groom,Nw,2
Dl,groom,Nw,3
Dl,In contact,Nw,22
Dl,In contact,RK,1
Dl,groom,RK,1
Dl,In contact,RK,1
Dl,In contact,Wa,2
Vi,groom,Wa,10
Vi,groom,Wa,10
Ku,groom,Ki,1
Ku,groom,Ki,2
Ku,In contact,Ki,10
Ku,In contact,Ki,12
Ku,groom,Ko,1
Ku,In contact,Nw,4
Ku,In contact,Pe,5
Ku,In contact,Vi,4
Ku,In contact,Wa,3
Ku,In contact,Wa,10
Pe,In contact,Vi,10
Pe,mating,Pk,15
Vi,groom,Vt,1
Vi,groom,Vt,1
Vi,groom,Vt,1
Vi,In contact,Vt,2
Vi,groom,Vt,3
Vi,In contact,Vt,4
Vi,In contact,Vt,14
Vi,groom,Wa,1
Vi,groom,Wa,3
Vi,In contact,Wa,5
Vi,groom,Wa,10
Vi,In contact,Wa,12
Wa,In contact,Ba,5
Wa,In contact,Pe,35
Wa,In contact,Vi,20
Nw,mating,Dl,15
RK,groom,Ba,75
Nw,In contact,Vi,40
Vi,In contact,Ku,5
Wa,play ,Ba,5
Wa,In contact,Ba,10
Wa,In contact,Dl,5
Wa,play ,RK,30
Wa,In contact,Vi,5
Wa,groom,Vi,10
Wa,groom,Vi,20
Vi,In contact,Ku,15
Wa,In contact,Ba,10
Wa,In contact,Ba,20
Wa,In contact,Vi,25
Wa,In contact,Vi,50
Wa,In contact,Vi,55
Wa,In contact,Nw,15
Wa,mating,Dl,15
Wa,mating,Dl,25
Ku,In contact,Vi,5
Wa,In contact,Vi,20
Nw,In contact,Vi,20
Nw,In contact,Vt,10
Vi,groom,Ba,2
Vi,In contact,Ku,1
Vi,In contact,Nw,1
Vi,In contact,Vt,1
Vi,In contact,Vt,2
Vi,In contact,Vt,15
Vi,In contact,Wa,1
Ba,In contact,Dl,1
Ba,In contact,Dl,1
Wa,In contact,Nw,10
Wa,In contact,Vi,10
Wa,In contact,Vi,35
Ku,groom,Ki,1
Ku,groom,Ki,2
Ku,In contact,Ki,3
Ku,In contact,Ki,8
Ku,groom,Nw,1
Ku,In contact,Nw,1
Ku,In contact,Wa,1
Ku,groom,Wa,1
Ku,In contact,Wa,1
Ku,In contact,Wa,1
Wa,In contact,Ba,5
Wa,In contact,Ba,5
Wa,In contact,Nw,5
Wa,In contact,Vi,20
Ba,groom,Ku,2
Ba,In contact,Ku,2
Ba,groom,Ku,2
Ba,groom,Pe,1
Ba,groom,Pe,1
Ba,groom,Pe,1
Ba,groom,Pe,2
Ba,groom,Pe,2
Ba,In contact,Pe,3
Ba,In contact,Pe,5
Ba,groom,Vt,1
Ba,In contact,Vt,2
Ba,In contact,Vt,8
Ba,In contact,Vt,40
Ba,In contact,Wa,3
Ku,In contact,Ba,1
Ku,groom,Ba,2
Ku,In contact,Ba,3
Ku,groom,Ki,1
Ku,play,Ki,5
Ku,play,Ko,1
Ku,In contact,Vi,1
Ku,In contact,Vi,1
Ku,In contact,Wa,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,1
Pe,groom,Pi,4
Pe,In contact,Pi,4
Nw,In contact,Wa,35
Vi,In contact,Nw,1
Vi,In contact,Nw,1
Vi,groom,Nw,1
Vi,In contact,Nw,1
Vi,In contact,Nw,1
Vi,In contact,Nw,2
Vi,In contact,Nw,6
Vi,In contact,Nw,7
Vi,In contact,Nw,15
Vi,play,Pe,20
Vi,In contact,Pe,20
Vi,play,Vn,1
Vi,In contact,Vt,1
Vi,groom,Vt,1
Vi,play,Vt,2
Vi,In contact,Vt,3
Vi,In contact,Wa,1
Vi,In contact,Wa,5
Vi,In contact,Wa,10
Pe,mating,Nw,1
Pe,In contact,Nw,1
Pe,groom,Nw,1
Pe,In contact,Nw,1
Pe,mating,Nw,7
Pe,In contact,Nw,8
Pe,groom,Pi,1
Pe,In contact,Pi,1
Pe,play,Pi,1
Pe,In contact,Pi,1
Pe,groom,Pi,1
Pe,In contact,Pi,1
Pe,In contact,Pi,2
Pe,play,Pi,2
Pe,groom,Pi,2
Pe,In contact,Pi,5
Ba,play,Bo,3
Ba,play,Bo,1
Ba,groom,Bo,2
Ba,groom,Bo,3
Ba,In contact,Bo,10
Ba,groom,Pe,1
Ba,play,Pe,1
Ba,groom,Pe,1
Ba,groom,Pe,1
Ba,In contact,Pe,1
Ba,groom,Pe,2
Ba,groom,Pe,2
Ba,groom,Pe,2
Ba,groom,Pe,3
Ba,In contact,Pe,6
Ba,groom,Vt,3
Ba,groom,Vt,3
Ba,In contact,Vt,8
Ba,play,Vt,9
Ba,play,Vt,11
Ba,groom,Wa,1
Ba,groom,Wa,4
Ba,groom,Wa,6
Dl,In contact,Pe,1
Dl,In contact,Pe,1
Dl,In contact,Pe,1
Dl,play,Pe,4
Dl,groom,Wa,1
Dl,In contact,Wa,17
Ba,groom,Bo,1
Ba,groom,Bo,1
Ba,groom,Bo,2
Ba,groom,Bo,3
Ba,In contact,Bo,5
Ba,In contact,Bo,10
Vi,groom,Ba,1
Vi,In contact,Ba,3
Vi,In contact,Ba,4
Vi,In contact,Ku,4
Vi,play,Vn,1
Vi,play,Vt,1
Vi,groom,Vt,2
Vi,groom,Vt,2
Vi,In contact,Vt,5
Vi,In contact,Vt,18
Vi,In contact,Wa,1
Ku,In contact,Ki,1
Ku,groom,Ki,1
Ku,In contact,Ki,2
Ku,groom,Ki,3
Ku,groom,Ko,1
Ku,groom,Ko,5
Ku,In contact,Pe,10
Ku,In contact,Vi,1
Ku,groom,Vt,2
Ku,groom,Wa,3
Ku,In contact,Wa,3
Dl,In contact,Ba,5
Dl,In contact,Pe,1
Dl,In contact,Pe,1
Dl,In contact,Pe,5
Dl,In contact,Pe,7
Dl,groom,Wa,1
Dl,In contact,Wa,1
Dl,In contact,Wa,2
Dl,In contact,Wa,3
Dl,In contact,Wa,8
Pe,groom,Ba,2
Pe,groom,Ba,4
Pe,In contact,Ba,4
