actor,receiver,GGR,gr.pref,rank.act,rank.rec,age.act,age.rec,dyad
ln,ky,4,1,3.42,4.66,9,11,5
h,j,20,1,3.42,6.2,31,24,1
j,h,4,0.134920635,6.2,3.42,24,31,1
ky,lc,15,1,4.66,4.11,11,9,4
lc,ky,20,0.660550459,4.11,4.66,9,11,4
lc,ln,31,0.339449541,4.11,3.42,9,9,6
ln,lc,40,1,3.42,4.11,9,9,6
h,li,7,1,3.42,5.23,31,12,2
li,h,2,1,5.23,6.2,12,24,2
dn,lc,21,1,5.57,4.11,44,9,3
ky,ln,5,0.254524887,4.66,3.42,11,9,5
lc,dn,13,0.47815534,4.11,5.57,9,44,3
ln,dn,9,0.375560538,3.42,5.57,9,44,7
