Date,actor,receiver,group,tr.prop.gr,n.swollen,sw.act,sw.rec,rank.act,rank.rec,age.act,age.rec,z.rank.act,z.rank.rec,z.age.act,z.age.rec,dyad
7/19/12,lc,ky,3,0.538798498,3,MIN,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/19/12,lc,dn,3,0.34965582,3,MIN,MAX,4.11,5.57,9,44,-0.127148048,1.283232562,-0.536083295,1.956911839,"lc,,dn"
7/20/12,lc,ln,3,0.145143287,3,MIN,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/20/12,ky,lc,3,0.994680851,3,MAX,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/20/12,lc,ky,3,0.164210215,3,MIN,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
7/20/12,ln,dn,3,0.994680851,3,MAX,MAX,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
7/21/12,ky,lc,3,0.945756372,3,MAX,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/21/12,ln,dn,3,0.994680851,3,MAX,MAX,3.42,5.57,9,44,-1.001678522,1.283232562,-0.536083295,1.956911839,"ln,,dn"
7/23/12,lc,ln,3,0.500721109,3,MIN,MAX,4.11,3.42,9,9,-0.127148048,-1.276140781,-0.536083295,-0.659195414,"lc,,ln"
7/23/12,ky,ln,3,0.043666502,3,MAX,MAX,4.66,3.42,11,9,0.569941461,-1.276140781,-0.355143152,-0.659195414,"ky,,ln"
7/23/12,ln,lc,3,0.887053953,3,MAX,MIN,3.42,4.11,9,9,-1.001678522,-0.454760499,-0.536083295,-0.659195414,"ln,,lc"
7/23/12,ky,lc,3,0.956333498,3,MAX,MIN,4.66,4.11,11,9,0.569941461,-0.454760499,-0.355143152,-0.659195414,"ky,,lc"
7/23/12,dn,lc,3,0.743767289,3,MAX,MIN,5.57,4.11,44,9,1.723307739,-0.454760499,2.630369202,-0.659195414,"dn,,lc"
7/23/12,ln,ky,3,0.112946047,3,MAX,MAX,3.42,4.66,9,11,-1.001678522,0.199962915,-0.536083295,-0.509703571,"ln,,ky"
7/23/12,lc,ky,3,0.179827554,3,MIN,MAX,4.11,4.66,9,11,-0.127148048,0.199962915,-0.536083295,-0.509703571,"lc,,ky"
